date,amount,category,description
20-07-2024,125.65,Income,Salary
08-07-2024,125.0,Income,Side Gig
19-07-2024,3000.0,Income,Salary
25-07-2024,50.0,Expense,Groceries
26-07-2024,20.0,Expense,Transport
27-07-2024,100.0,Expense,Utilities
28-07-2024,200.0,Income,Freelance
29-07-2024,75.0,Expense,Dining Out
30-07-2024,500.0,Income,Investment Returns
31-07-2024,45.0,Expense,Entertainment
01-08-2024,150.0,Expense,Groceries
02-08-2024,250.0,Income,Side Gig
03-08-2024,15.0,Expense,Transport
04-08-2024,80.0,Expense,Health
05-08-2024,1200.0,Income,Bonus
06-08-2024,500.0,Expense,Rent
07-08-2024,100.0,Expense,Shopping
08-08-2024,300.0,Income,Freelance
09-08-2024,90.0,Expense,Utilities
10-08-2024,25.0,Expense,Dining Out
11-08-2024,50.0,Expense,Entertainment
12-08-2024,400.0,Income,Investment Returns
13-08-2024,65.0,Expense,Groceries
14-08-2024,30.0,Expense,Transport
15-08-2024,1000.0,Income,Salary
16-08-2024,60.0,Expense,Dining Out
17-08-2024,120.0,Expense,Utilities
18-08-2024,150.0,Income,Side Gig
19-08-2024,50.0,Expense,Health
20-08-2024,45.0,Expense,Entertainment
21-08-2024,400.0,Income,Freelance
22-08-2024,500.0,Expense,Rent
23-08-2024,110.0,Expense,Groceries
24-08-2024,35.0,Expense,Transport
25-08-2024,25.0,Expense,Dining Out
26-08-2024,300.0,Income,Bonus
27-08-2024,100.0,Expense,Shopping
28-08-2024,75.0,Expense,Entertainment
29-08-2024,600.0,Income,Investment Returns
30-08-2024,500.0,Expense,Rent
31-08-2024,90.0,Expense,Utilities
01-09-2024,100.0,Income,Side Gig
02-09-2024,120.0,Expense,Dining Out
03-09-2024,60.0,Expense,Health
04-09-2024,45.0,Expense,Transport
05-09-2024,1500.0,Income,Salary
06-09-2024,400.0,Income,Freelance
07-09-2024,300.0,Expense,Groceries
08-09-2024,50.0,Expense,Shopping
09-09-2024,80.0,Expense,Dining Out
10-09-2024,250.0,Income,Side Gig
13-01-2025,150.0,Income,Testo
